,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
Chtop,2644.39852176106,0.0621804467896509,0.0475377567321077,1.30802231876569,0.190865739309816,0.0813799187082672,#BEBEBEB2
Snapin,1550.29175275686,-0.0842013635119924,0.0554473169558641,-1.51858319094171,0.128867444809378,0.0753041276926142,#BEBEBEB2
S100a4,296.215434101332,0.214505128366074,0.179483482770089,1.19512461567757,0.232038345839704,0.0849608944679821,#BEBEBEB2
S100a6,4383.40386511603,0.0775945429785119,0.0509595487997801,1.52266934865104,0.127841450164563,0.0751909097880791,#BEBEBEB2
Scn4a,162.763055260445,-0.116298911405612,0.159447466106478,-0.729387015331732,0.46576495825681,0.0931286241050734,#BEBEBEB2
Icam2,38.5745019766954,0.201026957590535,0.292142280542048,0.688113193398589,0.491381502809964,0.0936320173743086,#BEBEBEB2
Mapk7,480.332953963961,0.0699536596140741,0.0953596484161341,0.733577155284882,0.463206488261475,0.0930859013999839,#BEBEBEB2
Epn2,1593.73217007675,-0.0749170075370266,0.0508501571674562,-1.47328959653586,0.140672964709984,0.0766851746436118,#BEBEBEB2
B9d1,114.2493346113,0.276069045345962,0.166691798047902,1.65616454186083,0.0976885017665654,0.0716865221172157,#BEBEBEB2
Sec24b,1450.41490835854,-0.114056960694824,0.0732745135095677,-1.55657069875915,0.119572445068811,0.0740255469240211,#BEBEBEB2
N4bp3,102.010037593875,0.27037760257598,0.175658606218543,1.5392220648705,0.123750092672623,0.0745611842424156,#BEBEBEB2
Rmnd5b,593.99876315608,0.0961365981284036,0.0913642841684875,1.05223391178894,0.292692244369826,0.0877055256820481,#BEBEBEB2
Nhp2,488.88135267858,0.0843492113279051,0.111289636009115,0.757925125399785,0.448495807899854,0.0928224637893211,#BEBEBEB2
Vps9d1,833.107723232773,-0.0396438714302555,0.0841641284464961,-0.471030499121219,0.637618955192578,0.0957611871030444,#BEBEBEB2
Zfp276,653.179000942791,0.106746831930555,0.0999036356632035,1.0684979702883,0.285295945467086,0.0873844450823116,#BEBEBEB2
C1ql4,158.674669693434,0.201544701160463,0.156345338464972,1.28909952250106,0.197363489551464,0.0819966153509715,#BEBEBEB2
Mfsd10,315.752813083311,0.136447799702523,0.1108918447012,1.23045838104852,0.218525502902673,0.0839813029476803,#BEBEBEB2
Luzp1,3445.73776796407,0.060612189015995,0.0658593046874058,0.920328407712235,0.357401168282094,0.0901027075900605,#BEBEBEB2
Kctd10,1324.66149531907,0.114891150196617,0.0544375794528476,2.11051173383145,0.0348143015559933,0.0515106969822966,#BEBEBEB2
Poldip2,1294.24187381645,0.0313591968330323,0.0653434732690151,0.479913222609524,0.631289098687583,0.0957532268000858,#BEBEBEB2
Ift20,716.200748430754,-0.0330078711259039,0.0919795307657228,-0.358861051487388,0.719699037873124,0.0969021168540672,#BEBEBEB2
Col6a1,653.07201320021,0.0147594079490344,0.354311296663565,0.0416566112568778,0.966772443115739,0.0998544443126033,#BEBEBEB2
Pcbp3,5978.28029081022,0.0181266140379833,0.0671929633975361,0.269769528257597,0.787337566866737,0.097703974274148,#BEBEBEB2
Lgals9,1105.40169948776,-0.168144701547274,0.113417416730238,-1.48252981239384,0.138199377126919,0.0763629185789761,#BEBEBEB2
Araf,2619.46402413007,-0.0788767854047753,0.0526774447738444,-1.49735405244902,0.134301157203422,0.0759354241118969,#BEBEBEB2
Cfp,93.7462477691649,0.0827290130138195,0.278970540678124,0.296551072427651,0.766809269771072,0.0976001230219183,#BEBEBEB2
Timp1,117.350171870593,0.781026624545735,0.534298868921633,1.46177854750482,0.143801904587126,0.0772897686258117,#BEBEBEB2
Uxt,56.8772364697438,-0.00354025971261568,0.238268198328363,-0.0148582972358601,0.988145230231564,0.0999259766989262,#BEBEBEB2
Cnnm3,658.266616591555,-0.0116443650678041,0.0925314042924582,-0.125842303559994,0.899856754536231,0.0993393490315501,#BEBEBEB2
Lman2l,1139.43330693101,-0.141116549148176,0.0650192956738773,-2.17037954172845,0.0299781053291059,0.0486818900196125,#00FF00B2
Mcm3ap,850.904344120937,-0.140341997823893,0.0679838208562688,-2.06434407563828,0.0389851048206433,0.0540111549222206,#BEBEBEB2
Pcnt,496.224752483453,-0.137826361882122,0.0851794634851202,-1.61807032168262,0.105647443583441,0.0727706414736599,#BEBEBEB2
Mxd1,319.647811402293,-0.104274743901384,0.114126055958118,-0.91368043016969,0.360884790019212,0.09023697871829,#BEBEBEB2
Gmcl1,802.695528169465,0.0431792804101536,0.0722040359518704,0.59801754626204,0.549828225432938,0.0947989118401078,#BEBEBEB2
Snrnp27,433.212494318794,-0.0515102413033279,0.120672109383636,-0.426861199049473,0.669480428153509,0.0962952973442694,#BEBEBEB2
Oas1c,209.354360332286,0.123137156442263,0.156164402749388,0.788509764545205,0.430398589277506,0.0922173228147006,#BEBEBEB2
Ocrl,1351.43880507345,-0.087151737923619,0.0632881602292216,-1.37706227528129,0.168492994859932,0.0792543634485729,#BEBEBEB2
Calm1,43640.7536576361,-0.0333833101394035,0.0317573369494425,-1.05119992247932,0.293166778778632,0.0877055256820481,#BEBEBEB2
Agpat3,6904.42572114305,-0.0319022113144459,0.0363560870979793,-0.877492982907368,0.380218928571441,0.0905438453631365,#BEBEBEB2
Sema6b,233.274605851823,-0.137451835989166,0.118850032847897,-1.15651491796452,0.247470601209687,0.0856417933278351,#BEBEBEB2
Dpp9,1990.64075492968,-0.0658952054856527,0.0630802461011834,-1.04462505393454,0.29619629552542,0.0877055256820481,#BEBEBEB2
Ramp2,340.712133555961,0.0241298678772793,0.148124498217251,0.162902613461607,0.870595113072675,0.0985873492306084,#BEBEBEB2
Lsr,58.1499313405628,0.182678200119949,0.290002330267394,0.629919766339504,0.528747079710468,0.0944329605801947,#BEBEBEB2
Gramd1a,1559.92602381993,0.0594381945729277,0.0618556593773254,0.960917645552027,0.336593577745,0.0892200015998419,#BEBEBEB2
Hpn,26.4749787234789,0.164348088686903,0.406477456421895,0.404322764006674,0.685975387922857,0.0964047437258928,#BEBEBEB2
Gabrg1,1231.13205199727,-2.11089930961977e-05,0.0649572460635864,-0.000324967488238867,0.999740713462935,0.0999880605817719,#BEBEBEB2
Ckb,15654.8726572551,0.0379934626387726,0.0679813278459763,0.558880855120299,0.576243036091489,0.095101537987771,#BEBEBEB2
Sp1,929.396032977872,-0.0741713580736399,0.0957150452912557,-0.774918486931083,0.438387827403465,0.092500123566924,#BEBEBEB2
Itgb7,39.1378644599951,-0.39903022500874,0.295126464382034,-1.35206520988983,0.176354455486517,0.0805204323553337,#BEBEBEB2
Myg1,455.990232583797,0.0458000715152809,0.0895733928274559,0.511313349528973,0.609131658792225,0.095404153198585,#BEBEBEB2
Rarg,1116.96284557345,0.135513202417296,0.0801862179387892,1.689981219974,0.0910315475743544,0.0711232468685954,#BEBEBEB2
Pfdn5,1278.01788084385,-0.0141723959065739,0.0829098524461668,-0.170937415619887,0.864272976203934,0.0984628354307511,#BEBEBEB2
Efnb2,1140.78376545479,-0.00140566194207011,0.0867694036683412,-0.0161999723709405,0.98707485750607,0.0999146064048841,#BEBEBEB2
Rrp15,104.856766842218,0.111967838732652,0.172270403026582,0.649954006988505,0.515721930998706,0.094165857754841,#BEBEBEB2
Rnd2,766.54045169622,0.165728071587133,0.0819283671969566,2.02284113863421,0.0430895287573955,0.0563147684723058,#BEBEBEB2
Srr,492.188930398591,-0.0651560061534129,0.0891375442207722,-0.730960300993229,0.464803401778374,0.0930859013999839,#BEBEBEB2
Sync,329.014427901228,-0.0817778954798837,0.0980750680417194,-0.833829607389076,0.404377008690828,0.0914590542274561,#BEBEBEB2
Fndc5,1048.20101022747,-0.268914505901592,0.0747167498644791,-3.59911942622435,0.000319296539677624,0.00736954756319383,#00FF00B2
Acp5,25.1444341300838,0.554706830787951,0.623400953560671,0.88980747882986,0.373569270097662,0.0905141288454397,#BEBEBEB2
